Month,Day,time,Quantity,Cost
May,24,15.0,2,26575000.0
May,24,15.5,4,27150000.0
May,24,16.5,1,27150000.0
May,24,18.5,1,27100000.0
May,24,19.0,1,27000000.0
May,24,19.5,3,26607000.0
May,24,20.0,1,26500000.0
May,24,20.5,2,26900000.0
May,24,21.0,1,26900000.0
May,24,21.5,3,27000000.0
May,24,23.0,1,27150000.0
May,24,23.5,1,27000000.0
May,25,0.0,1,27125000.0
May,25,1.0,1,27000000.0
May,25,2.5,1,27120000.0
May,25,3.0,1,27120000.0
May,25,3.5,4,27000000.0
May,25,4.0,18,27000000.0
May,25,5.5,3,26666700.0
May,25,6.5,1,26000000.0
May,25,7.0,33,27000000.0
May,25,7.5,10,27000000.0
May,25,8.0,2,26750000.0
May,25,9.0,8,27000000.0
May,25,10.0,1,27050000.0
May,25,11.0,2,27000000.0
May,25,13.0,12,27147100.0
May,25,16.0,5,27349000.0
May,25,17.0,3,27350000.0
May,25,19.0,1,27350000.0
May,25,23.5,3,27175000.0
May,26,0.0,1,26803000.0
May,26,1.5,1,27050000.0
May,26,2.0,5,26750000.0
May,26,2.5,4,26750000.0
May,26,3.0,7,26750000.0
May,26,4.0,1,27200000.0
May,26,4.5,2,27175000.0
May,26,6.0,2,27150000.0
May,26,6.5,2,27075000.0
May,26,8.0,7,26800000.0
May,26,13.0,1,27150000.0
May,26,14.5,2,27000000.0
May,26,15.5,6,27108300.0
May,26,16.0,2,27275000.0
May,26,16.5,2,27349500.0
May,26,17.0,1,27350000.0
May,26,18.0,1,27300000.0
May,26,18.5,2,27324500.0
May,26,19.0,2,27349000.0
May,26,19.5,1,27350000.0
May,26,20.0,4,27075000.0
May,26,20.5,4,27287500.0
May,26,21.0,7,27092900.0
May,26,23.5,1,27300000.0
May,27,1.0,1,27225000.0
May,27,5.0,1,27225000.0
May,27,5.5,6,27000000.0
May,27,6.0,15,26900000.0
May,27,6.5,24,26800000.0
May,27,7.0,13,26800000.0
May,27,7.5,5,26800000.0
May,27,8.0,4,26900000.0
May,27,9.0,1,26500000.0
May,27,9.5,3,27125000.0
May,27,10.0,4,27150000.0
May,27,12.5,1,27150000.0
May,27,13.5,2,27150000.0
May,27,15.5,10,27237200.0
May,27,16.0,3,27000000.0
May,27,16.5,2,27225000.0
May,27,18.0,3,27325000.0
May,27,20.0,5,26500000.0
May,27,20.5,24,25000000.0
May,27,21.0,9,25000000.0
May,27,21.5,2,27000000.0
May,27,22.0,2,27094400.0
May,27,23.0,2,27050000.0
May,28,0.0,5,27200000.0
May,28,0.5,1,27200000.0
May,28,2.0,1,27200000.0
May,28,3.5,6,27315000.0
May,28,5.5,1,27250000.0
May,28,6.0,3,24000000.0
May,28,7.0,4,27000000.0
May,28,15.5,1,27300000.0
May,28,16.5,1,27300000.0
May,28,18.5,1,27300000.0
May,28,19.5,12,27100000.0
May,28,20.0,2,27275000.0
May,28,20.5,1,27275000.0
May,28,21.0,5,27100000.0
May,28,21.5,1,27150000.0
May,28,22.5,1,27200000.0
May,28,23.0,2,27225000.0
May,29,0.5,1,27200000.0
May,29,1.0,1,27175000.0
May,29,2.0,4,27025000.0
May,29,4.0,2,27100000.0
May,29,5.0,1,27200000.0
May,29,7.0,4,27195000.0
May,29,11.5,1,27200000.0
May,29,12.5,1,27225000.0
May,29,14.5,3,27200000.0
May,29,15.0,1,27150000.0
May,29,16.5,1,27200000.0
May,29,17.0,10,27000000.0
May,29,18.0,5,27200000.0
May,29,18.5,2,27250000.0
May,29,19.5,1,27200000.0
May,29,20.0,4,27285000.0
May,29,21.0,1,27285000.0
May,29,22.5,2,27324500.0
May,29,23.0,1,27349000.0
May,29,23.5,1,27349000.0
May,30,0.5,1,27349000.0
May,30,2.5,5,27000000.0
May,30,3.5,1,27325000.0
May,30,4.0,6,27000000.0
May,30,4.5,4,27000000.0
May,30,6.0,2,27325000.0
May,30,8.0,1,27325000.0
May,30,8.5,1,27250000.0
May,30,9.5,1,27250000.0
May,30,11.0,1,27300000.0
May,30,12.5,3,27300000.0
May,30,15.0,1,27000000.0
May,30,15.5,8,27350000.0
May,30,16.0,19,27302600.0
May,30,16.5,2,27449000.0
May,30,17.0,2,27413900.0
May,30,17.5,3,27100000.0
May,30,18.0,6,27100000.0
May,30,19.0,1,27340000.0
May,30,20.5,3,27329500.0
May,30,21.0,1,27340000.0
May,30,23.5,4,27250000.0
May,31,1.0,1,25000000.0
May,31,3.5,1,27250000.0
May,31,4.0,1,27300000.0
May,31,4.5,4,27100000.0
May,31,5.0,6,27075000.0
May,31,5.5,2,27222200.0
May,31,7.0,1,27200000.0
May,31,7.5,2,27200000.0
May,31,8.5,1,27200000.0
May,31,11.0,6,27200000.0
May,31,12.0,2,27200000.0
May,31,12.5,4,27200000.0
May,31,15.0,2,27200000.0
May,31,15.5,1,27200000.0
May,31,16.0,4,27246200.0
May,31,16.5,2,27285000.0
May,31,17.0,1,27285000.0
May,31,17.5,1,27285000.0
May,31,19.0,6,27312500.0
May,31,19.5,2,27325000.0
May,31,20.0,12,27400000.0
May,31,20.5,1,27492000.0
May,31,21.0,1,26900000.0
May,31,21.5,3,27500000.0
May,31,22.0,2,27347900.0
May,31,23.0,3,27383000.0
Jun,1,0.0,1,27499000.0
Jun,1,1.0,3,27459300.0
Jun,1,1.5,1,27400000.0
Jun,1,2.0,1,27440100.0
Jun,1,2.5,2,27435400.0
Jun,1,3.0,4,27499700.0
Jun,1,4.5,3,26000000.0
Jun,1,5.0,7,27498000.0
Jun,1,5.5,4,27000000.0
Jun,1,6.5,5,27400000.0
Jun,1,7.0,1,27475000.0
Jun,1,10.0,22,27100000.0
Jun,1,10.5,3,27100000.0
Jun,1,11.0,8,27250000.0
Jun,1,14.5,1,27000000.0
Jun,1,15.0,2,27000000.0
Jun,1,15.5,35,27000000.0
Jun,1,16.0,25,27000000.0
Jun,1,16.5,12,27000000.0
Jun,1,17.0,2,27000000.0
Jun,1,17.5,4,27400000.0
Jun,1,18.5,8,27000000.0
Jun,1,19.0,1,27369000.0
Jun,1,21.0,2,27369000.0
Jun,1,21.5,2,27370000.0
Jun,1,22.0,2,27400000.0
Jun,1,22.5,9,27100000.0
Jun,2,0.0,1,27349000.0
Jun,2,1.0,4,27349500.0
Jun,2,1.5,10,27000000.0
Jun,2,2.0,3,27350000.0
Jun,2,2.5,2,27382500.0
Jun,2,3.0,1,27415000.0
Jun,2,3.5,5,27415000.0
Jun,2,4.0,3,27415000.0
Jun,2,4.5,2,27382500.0
Jun,2,5.0,3,27000000.0
Jun,2,5.5,2,27357500.0
Jun,2,6.0,1,27415000.0
Jun,2,6.5,3,27400000.0
Jun,2,7.0,7,26404900.0
Jun,2,8.0,7,26600000.0
Jun,2,8.5,10,27100000.0
Jun,2,9.0,1,27375000.0
Jun,2,9.5,10,27000000.0
Jun,2,10.0,2,27350000.0
Jun,2,12.0,3,27000000.0
Jun,2,12.5,8,27000000.0
Jun,2,13.0,5,27370000.0
Jun,2,14.0,5,27370000.0
Jun,2,14.5,2,27370000.0
Jun,2,15.0,2,27370000.0
Jun,2,17.0,2,27300000.0
Jun,2,17.5,1,27300000.0
Jun,2,18.5,2,27150000.0
Jun,2,19.0,9,27000000.0
Jun,2,19.5,8,27150000.0
Jun,2,20.0,13,27000000.0
Jun,2,20.5,1,27300000.0
Jun,2,21.0,4,27250000.0
Jun,2,21.5,5,27250000.0
Jun,2,22.0,4,27000000.0
Jun,2,23.0,2,27250000.0
Jun,2,23.5,3,27200000.0
Jun,3,0.0,1,27200000.0
Jun,3,1.0,2,27200000.0
Jun,3,2.0,2,27200000.0
Jun,3,2.5,1,27200000.0
Jun,3,3.0,18,27100000.0
Jun,3,3.5,5,27000000.0
Jun,3,4.0,3,27100000.0
Jun,3,4.5,9,26950000.0
Jun,3,5.0,2,27100000.0
Jun,3,5.5,1,27200000.0
Jun,3,6.0,1,27200000.0
Jun,3,6.5,15,26800000.0
Jun,3,7.0,6,26850000.0
Jun,3,8.0,1,26999000.0
Jun,3,8.5,1,26999000.0
Jun,3,9.0,3,26999000.0
Jun,3,9.5,3,26999000.0
Jun,3,10.0,2,26900000.0
Jun,3,10.5,2,26950000.0
Jun,3,11.0,1,27000000.0
Jun,3,12.5,2,27000000.0
Jun,3,13.0,4,27000000.0
Jun,3,13.5,2,26990000.0
Jun,3,14.5,3,26990000.0
Jun,3,15.0,1,27000000.0
Jun,3,15.5,1,27150000.0
Jun,3,16.5,1,27129200.0
Jun,3,17.5,1,27119200.0
Jun,3,18.0,1,27000000.0
Jun,3,18.5,1,26900000.0
Jun,3,19.0,1,26700000.0
Jun,3,20.5,1,27000000.0
Jun,3,22.0,2,27095000.0
Jun,4,0.0,1,27000000.0
Jun,4,0.5,3,27000000.0
Jun,4,1.5,1,26999000.0
Jun,4,3.5,2,26999000.0
Jun,4,4.0,1,26999000.0
Jun,4,5.5,1,26800000.0
Jun,4,6.5,2,26924500.0
Jun,4,7.5,2,26999000.0
Jun,4,9.5,1,26999000.0
Jun,4,10.0,1,26999000.0
